eco_code,name
A64,"Benoni, Fianchetto, 11...Re8 (A64)"
B69,"Sicilian, Richter-Rauzer Attack, 7...a6 Defense, 11.Bxf6 (B69)"
B68,"Sicilian, Richter-Rauzer Attack, 7...a6 Defense, 9...Be7 (B68)"
E09,"Catalan, Closed (E09)"
E77,King's Indian (E77)
A86,Dutch (A86)
B54,Sicilian (B54)
D88,"Grunfeld, Spassky Variation, Main line, 10...cd, 11.cd (D88)"
A73,"Benoni, Classical, 9.O-O (A73)"
C38,King's Gambit Accepted (C38)
D80,Grunfeld (D80)
C22,Center Game (C22)
C73,"Ruy Lopez, Modern Steinitz Defense (C73)"
C86,"Ruy Lopez, Worrall Attack (C86)"
B65,"Sicilian, Richter-Rauzer Attack, 7...Be7 Defense, 9...Nxd4 (B65)"
E65,"King's Indian, Fianchetto, Yugoslav, 7.O-O (E65)"
A99,"Dutch, Ilyin-Genevsky Variation with b3 (A99)"
A95,"Dutch, Stonewall (A95)"
A79,"Benoni, Classical, 11.f3 (A79)"
D95,Grunfeld (D95)
E96,"King's Indian, Orthodox, 7...Nbd7, Main line (E96)"
D96,"Grunfeld, Russian Variation (D96)"
D62,"Queen's Gambit Declined, Orthodox, Rubinstein Attack (D62)"
E19,"Queen's Indian, Old Main line, 9.Qxc3 (E19)"
E55,"Nimzo-Indian, 4.e3, Gligoric System, Bronstein Variation (E55)"
B94,"Sicilian, Najdorf (B94)"
A82,"Dutch, Staunton Gambit (A82)"
E45,"Nimzo-Indian, 4.e3, Bronstein (Byrne) Variation (E45)"
E49,"Nimzo-Indian, 4.e3, Botvinnik System (E49)"
D99,"Grunfeld Defense, Smyslov (D99)"
A98,"Dutch, Ilyin-Genevsky Variation with Qc2 (A98)"
E50,"Nimzo-Indian, 4.e3 O-O 5.Nf3, without ...d5 (E50)"
A76,"Benoni, Classical, 9...Re8 (A76)"
A83,"Dutch, Staunton Gambit (A83)"
D73,"Neo-Grunfeld, 5.Nf3 (D73)"
B71,"Sicilian, Dragon, Levenfish Variation (B71)"
E13,"Queen's Indian, 4.Nc3, Main line (E13)"
E63,"King's Indian, Fianchetto, Panno Variation (E63)"
D65,"Queen's Gambit Declined, Orthodox, Rubinstein Attack, Main line (D65)"
D76,"Neo-Grunfeld, 6.cd Nxd5, 7.O-O Nb6 (D76)"
D51,Queen's Gambit Declined (D51)
D21,Queen's Gambit Accepted (D21)
D69,"Queen's Gambit Declined, Orthodox Defense, Classical, 13.de (D69)"
D54,"Queen's Gambit Declined, Anti-Neo-Orthodox Variation (D54)"
D56,Queen's Gambit Declined (D56)
D39,"Queen's Gambit Declined, Ragozin, Vienna Variation (D39)"
A91,Dutch Defense (A91)
E71,"King's Indian, Makagonov System (5.h3) (E71)"
E28,"Nimzo-Indian, Samisch Variation (E28)"
E79,"King's Indian, Four Pawns Attack, Main line (E79)"
D71,Neo-Grunfeld (D71)
E23,"Nimzo-Indian, Spielmann (E23)"
D86,"Grunfeld, Exchange (D86)"
C23,Bishop's Opening (C23)
E29,"Nimzo-Indian, Samisch (E29)"
D57,"Queen's Gambit Declined, Lasker Defense (D57)"
D49,"Queen's Gambit Declined Semi-Slav, Meran (D49)"
D72,"Neo-Grunfeld, 5.cd, Main line (D72)"
D98,"Grunfeld, Russian (D98)"
D81,"Grunfeld, Russian Variation (D81)"
D84,"Grunfeld, Grunfeld Gambit Accepted (D84)"
E37,"Nimzo-Indian, Classical (E37)"
E36,"Nimzo-Indian, Classical (E36)"
E40,"Nimzo-Indian, 4.e3 (E40)"
E58,"Nimzo-Indian, 4.e3, Main line with 8...Bxc3 (E58)"
A96,"Dutch, Classical Variation (A96)"
A78,"Benoni, Classical with ...Re8 and ...Na6 (A78)"
A74,"Benoni, Classical, 9...a6, 10.a4 (A74)"
D83,"Grunfeld, Grunfeld Gambit (D83)"
A66,Benoni (A66)
